id|memberevent_id|tag_id
1380|660|425
1381|660|1084
1382|661|425
1383|662|1266
1384|662|1263
1385|663|1052
1386|664|425
1387|665|433
1388|665|426
1389|665|71139
1390|665|1009
1391|666|71139
1392|666|1254
1393|666|1256
1394|666|1258
1395|666|440
1396|667|71139
1397|667|1254
1398|668|1254
1399|669|425
1400|669|429
1401|669|1039
1402|669|1084
1403|669|71357
1405|671|431
1406|672|1264
1407|672|524
1408|672|28531
1409|672|1067
1410|673|432
1411|673|588
1412|673|429
1413|673|1084
1414|674|432
1415|674|1084
1416|675|1033
1417|675|1034
1418|675|429
1419|675|1039
1420|675|1009
1421|676|1264
1422|676|1067
1423|676|429
1424|677|1264
1425|677|1067
1426|677|429
1427|678|1264
1428|678|1067
1429|678|429
1430|679|1264
1431|679|1067
1432|679|429
1433|680|1264
1434|680|1067
1435|680|429
1436|680|1071
1437|681|1067
1438|681|429
1439|681|1071
1440|682|1067
1441|682|429
1442|682|1071
1443|683|1264
1444|683|429
1445|683|1071
1446|684|1264
1447|684|429
1448|684|1071
1449|685|1071
1450|686|71357
1451|686|1254
1452|688|71357
1453|688|1254
1454|689|1257
1455|689|71357
1456|689|1254
1457|690|71357
1458|690|1254
1459|691|71357
1460|691|1254
1461|692|1009
1462|692|1034
1463|692|1033
1464|687|71357
1465|687|1254
1466|693|1009
1467|693|1034
1468|693|1033
1469|694|1071
1470|695|1071
1471|696|433
1472|696|1067
1473|696|71139
1474|697|1071
1475|698|1071
1476|699|71139
1477|699|1039
1478|700|71360
1479|700|71139
1480|700|1039
1481|701|1256
1482|701|1257
1483|701|1009
1484|701|726
1485|701|71357
1486|701|43134
1487|702|1256
1488|702|1009
1489|702|1259
1490|702|71357
1491|703|1257
1492|703|71357
1493|703|1254
1494|704|1009
1495|704|1257
1496|704|1254
1497|704|71357
1498|705|1009
1499|705|1257
1500|705|1254
1501|705|71357
1502|706|1257
1503|706|71357
1504|706|1254
1505|707|1042
1506|708|71139
1507|708|1102
1508|708|1055
1509|709|433
1510|709|1030
1511|710|433
1512|711|433
1513|711|1030
1514|712|1030
1515|713|425
1516|713|16314
1517|714|16314
1518|715|429
1519|715|1071
1520|716|1009
1521|717|1009
1522|718|425
1523|719|419
1524|719|1028
1525|719|726
1526|720|1192
1527|720|1242
1528|720|1039
1529|721|440
1530|721|1116
1531|721|71359
1532|722|1071
1533|723|1071
1534|724|1071
1535|725|1071
1536|726|1009
1538|727|1258
1539|727|1259
1540|727|1071
1541|727|726
1542|728|1071
1543|729|1009
1544|730|1257
1545|730|1258
1546|730|1259
1547|730|1071
1548|730|726
1549|731|1071
1550|732|1021
1551|733|1257
1552|733|1258
1553|733|1259
1554|733|1071
1555|733|726
1556|734|1021
1557|735|1257
1558|735|1258
1559|735|1259
1560|735|1071
1561|735|726
1562|736|1257
1563|736|1258
1564|736|1259
1565|736|1071
1566|736|726
1567|737|1071
1568|738|425
1569|739|425
1570|739|1042
1571|739|1043
1572|739|1046
1573|739|726
1574|739|1049
1575|739|476
1576|739|1021
1577|740|433
1578|740|1028
1579|740|726
1580|741|425
1581|742|1071
1582|743|425
1583|744|425
1584|745|1258
1585|745|1067
1586|745|1068
1587|745|1071
1588|745|433
1589|745|1073
1590|745|726
1591|746|1258
1592|746|1067
1593|746|1068
1594|746|1071
1595|746|433
1596|746|1073
1597|746|726
1598|747|1258
1599|747|1067
1600|747|1068
1601|747|1071
1602|747|433
1603|747|1073
1604|747|726
1605|748|1254
1606|748|1258
1607|748|431
1608|748|1009
1609|748|726
1610|749|1254
1611|749|1258
1612|749|431
1613|749|1009
1614|749|726
1615|750|1254
1616|750|1258
1617|750|431
1618|750|1009
1619|750|726
1620|751|1071
1621|752|1071
1622|753|1071
1623|754|31531
1624|755|71360
1625|755|71276
1626|756|120
1627|756|1042
1628|756|71358
1629|756|1071
1630|757|433
1631|757|1028
1632|758|1257
1633|758|425
1634|758|1067
1635|758|1258
1636|758|726
1637|758|1016
1638|758|1242
1639|759|433
1640|759|1028
1641|760|1028
1642|760|1257
1643|760|1258
1644|760|1067
1645|760|1071
1646|760|433
1647|760|726
1648|760|1242
1649|760|476
1650|761|433
1651|761|1028
1652|762|1257
1653|762|431
1654|763|1257
1655|763|431
1656|764|1257
1657|764|431
1658|765|433
1659|765|1084
1660|766|1257
1661|766|431
1662|767|1084
1663|768|425
1664|769|1084
1665|770|71360
1666|771|71360
1667|772|71360
1668|773|71358
1669|774|71360
1670|775|71360
1671|776|1116
1672|777|1071
1673|778|1071
1674|779|1071
1675|780|1071
1676|781|1071
1677|782|1071
1678|783|1071
1679|784|1071
1685|786|71357
1686|787|71357
1687|788|433
1688|788|476
1689|788|1084
1690|788|1021
1693|790|425
1694|790|71357
1695|791|1071
1696|792|425
1697|792|1258
1698|792|429
1699|792|1039
1700|792|19061
1701|793|1254
1702|794|1254
1704|796|1254
1705|797|1021
1706|798|1254
1707|799|1254
1708|800|1254
1709|801|1254
1710|802|418
1711|802|71139
1712|802|1067
1713|802|429
1714|802|1009
1715|802|438
1716|803|71357
1717|804|71357
1718|804|1254
1719|805|71357
1720|805|1254
1721|806|71357
1722|806|1254
1723|807|71357
1724|807|1254
1725|808|71357
1726|808|1254
1727|809|1160
1728|809|1039
1729|809|1071
1730|809|1073
1731|809|1075
1732|809|120
1733|810|1029
1734|810|1257
1735|810|491
1736|810|1009
1737|810|433
1738|810|438
1739|810|726
1740|810|1181
1741|811|726
1742|812|1254
1743|812|425
1744|812|1258
1745|812|726
1746|813|425
1747|813|1259
1748|813|429
1749|813|1254
1750|814|71139
1751|814|1254
1752|814|425
1753|814|434
1754|814|1043
1755|814|1042
1756|814|1046
1757|814|1049
1758|814|1021
1759|815|71360
1760|815|425
1761|815|71357
1762|815|726
1763|816|71139
1764|816|1254
1765|816|434
1766|816|1043
1767|816|1042
1768|816|1046
1769|816|1021
1770|817|1025
1771|817|1254
1772|817|1042
1773|817|726
1774|817|1021
1775|818|1042
1776|818|1076
1777|819|71360
1778|819|425
1779|819|71139
1780|819|71357
1781|820|1256
1782|821|1256
1783|822|433
1784|822|1258
1785|822|726
1786|822|1030
1787|823|71360
1788|823|1071
1789|823|1042
1790|823|726
