id|name|ivector_connect_id|iata_code|location_id|latitude|longitude
1777|(YWG) Winnipeg International, Winnipeg, MB, Canada|1764|YWG|e00ea5aa-9690-4f1d-8307-81911023d666|49.910000|-97.234000
2592|(IAH) George Bush Intercontinental, Houston, TX, United States|2506|IAH|938285ab-d822-4010-8ca5-d5a379c9bfc5|29.980000|-95.340000
1451|(MPM) Maputo International, Maputo, Mozambique|2072|MPM|497c1274-6163-4642-87bd-845c54125d69|-25.921000|32.573000
606|(MRS) Marseille - Provence, Marseille, France|946|MRS|4e9cea11-b383-442b-8363-38b95162a531|43.436000|5.214000
288|(BZR) Cap d'Agde, Beziers, France|241|BZR|4e9cea11-b383-442b-8363-38b95162a531|43.324000|3.356000
1252|(KGL) Kigali International, Kigali, Rwanda|1995|KGL|9d1865d3-ac80-46de-a47b-154b8943a861|-1.969000|30.139000
3281|Tri-Cities, TN, United States of America (TRI-Tri-Cities Regional)|3004|TRI||0.000000|0.000000
1194|(KHH) Kaohsiung International, Kaohsiung, Taiwan|702|KHH|90d46891-7678-4da9-a7dd-4e24098a8a87|22.575000|120.351000
3282|Bastia, France (BIA-Poretta)|3005|BIA||0.000000|0.000000
3283|Flint, MI, United States of America (FNT-Bishop Intl.)|3006|FNT||0.000000|0.000000
3284|Redmond, OR, United States of America (RDM-Robert's Field)|3008|RDM||0.000000|0.000000
920|(GWL) Gwalior, India|529|GWL|8f4c1b35-16a3-49f1-b746-91dfd4d03c23|26.294000|78.228000
950|(YKA) Kamloops, BC, Canada|1678|YKA|d510f4be-ef3d-4ec0-bd0a-a95d68dd9e2b|50.702000|-120.442000
1779|(YRI) Riviere du Loup, PQ, Canada|1733|YRI|363ca05e-d228-4076-b618-a774d6f5a181|47.764000|-69.585000
3130|(RFD) Greater Rockford, Rockford, IL, United States|2874|RFD||42.201930|-89.095602
2730|(ROV) Rostov-on-Don, Russia|1250|ROV|576c23c3-4580-490c-9f63-4ae61de172e2|47.258000|39.818000
2162|(STR) Stuttgart Airport, Stuttgart, Germany|1363|STR|0d4b844f-7a74-4bd8-a19f-f15d634d6935|48.690000|9.222000
370|(CXP) Tunggul Wulung, Cilacap, Indonesia|353|CXP|e8d59809-8738-469c-bec9-9b62403c452f|-7.645000|109.034000
1938|(RAE) Arar, Saudi Arabia|1204|RAE|c02c0ce7-33ca-439d-a92e-7069a14cbec9|30.907000|41.138000
30|(AGZ) Aggeneys, South Africa|35|AGZ|cbcc7419-1f9e-4ae8-aec9-dc8a03473ce2|-29.282000|18.814000
64|(AOJ) Aomori, Japan|67|AOJ|f6d9dab4-cb6c-4b5e-b8f1-fb0da0b818ab|40.734000|140.691000
