id|name|longitude|latitude|country|postcode|location_id|see_venue_id
8302|The Poly|-5.068253|50.153811|United Kingdom|TR11 3EG|27d9b687-31e6-4c4f-892a-508c51c365a1|9410
8060|Poole Centenary Hall & Club|-1.979549|50.720730|United Kingdom|BH15 2BU|27d9b687-31e6-4c4f-892a-508c51c365a1|21220
8071|Dalry Town Hall|-4.166124|55.107123|United Kingdom|DG73SW|27d9b687-31e6-4c4f-892a-508c51c365a1|21629
8089|8MM|13.333330|52.530270|Germany|10119|0d4b844f-7a74-4bd8-a19f-f15d634d6935|21272
8142|Pyramid|-1.558362|53.807348|United Kingdom|LS2 9JZ|27d9b687-31e6-4c4f-892a-508c51c365a1|21759
8566|Nottingham Racecourse|-1.111259|52.949962|United Kingdom|NG2 4BE|27d9b687-31e6-4c4f-892a-508c51c365a1|7291
8391|The Pheasantry, London|-0.165479|51.489101|United Kingdom|SW3 4UT|27d9b687-31e6-4c4f-892a-508c51c365a1|7175
8926|Lisnavagh House|||Ireland|R93 PX61|f6ccc634-0019-431c-9ab9-63bd4c0e40a2|22352
8061|The Old School BBQ Bus|-2.144002|53.521629|United Kingdom|OL97LP|27d9b687-31e6-4c4f-892a-508c51c365a1|21572
8453|The Claptrap|-2.144584|52.455430|United Kingdom|DY8 1EE|27d9b687-31e6-4c4f-892a-508c51c365a1|22005
8455|la grange|5.401426|45.519054|France|38690|4e9cea11-b383-442b-8363-38b95162a531|22252
7606|The Art House Cafe|-1.404459|50.909046|United Kingdom|SO14 7DW|27d9b687-31e6-4c4f-892a-508c51c365a1|19485
7359|Moscow International House of Music|37.646731|55.733170|Russia|115035|c047c5c6-c873-46a6-bc66-3ba706af1c0c|
7971|Commemoration Hall|-0.182519|52.329607|United Kingdom|PE29 3AQ|27d9b687-31e6-4c4f-892a-508c51c365a1|21567
8927|Online Event - Zoom Required|||United Kingdom|ONLINE|27d9b687-31e6-4c4f-892a-508c51c365a1|22697
8148|Sheffield SU Auditorium|-1.487817|53.380659|United Kingdom|S10 2TG|27d9b687-31e6-4c4f-892a-508c51c365a1|21763
8615|ESH Médias|6.225069|46.377489|Switzerland|1260|0c53b617-ee78-4ff2-a6b6-963a877c4041|21848
7973|Open House|-1.599932|54.936371|United Kingdom|NE9 6HU|27d9b687-31e6-4c4f-892a-508c51c365a1|21516
7974|Islington Metal Works|-0.105079|51.532222|United Kingdom|EC1V 1NQ|27d9b687-31e6-4c4f-892a-508c51c365a1|4618
7492|House of Dapper|-0.878087|52.241933|United Kingdom|NN1 4ED|27d9b687-31e6-4c4f-892a-508c51c365a1|19446
7976|Kings Grant Community Room|-74.923500|39.913447|United States|08053|a3a2eab3-de54-4388-894e-364e26911c3b|21473
8146|Le Camji|-0.516916|46.301629|France|79000|4e9cea11-b383-442b-8363-38b95162a531|19679
8398|Arttek|2.151164|41.389924|Spain|08036|9cbbdced-21fa-4322-a91b-277d6642ed08|22169
8147|the cowley club|-0.136351|50.830129|United Kingdom|BN1 4JA|27d9b687-31e6-4c4f-892a-508c51c365a1|21785
2364|The Sailor|-1.888475|53.944391|United Kingdom|LS29 0PD||16415
8072|Brabanthallen|5.289957|51.701392|Netherlands|5222AK|f559690a-7d36-43a3-83bd-d34c6880b1e8|21174
8149|The Ballroom|-2.270654|53.002298|United Kingdom|ST5 5BJ|27d9b687-31e6-4c4f-892a-508c51c365a1|21766
8150|Sopwith Building|-0.303185|51.403274|United Kingdom|KT1 2EE|27d9b687-31e6-4c4f-892a-508c51c365a1|21764
8190|The Loods|4.454124|51.522548|Netherlands|4707AD|f559690a-7d36-43a3-83bd-d34c6880b1e8|21197
8073|Titanic Sur Mer|-9.153918|38.709608|Portugal|1200-109|f196262b-8c66-4f1a-a043-514e3250e353|21501
8304|Hospitality Suite|-3.215965|51.491268|United Kingdom|CF5 2AF|27d9b687-31e6-4c4f-892a-508c51c365a1|22004
8847|Hambledon Vineyard|-1.077792|50.935070|United Kingdom|PO7 4RY|27d9b687-31e6-4c4f-892a-508c51c365a1|21495
7975|The Jam Factory|-1.268170|51.752511|United Kingdom|OX1 1HU|27d9b687-31e6-4c4f-892a-508c51c365a1|21597
7561|Threlkeld Village Hall|-3.054800|54.618831|United Kingdom|CA12 4RY|27d9b687-31e6-4c4f-892a-508c51c365a1|19546
8400|Arch-Way Project|-1.871439|53.716836|United Kingdom|HX1 3AG|27d9b687-31e6-4c4f-892a-508c51c365a1|14910
8401|Salle des fêtes|5.249835|43.558727|France|13111|4e9cea11-b383-442b-8363-38b95162a531|22022
8305|Magazine Heaven|-0.624873|52.300160|United Kingdom|NN10 6FS|27d9b687-31e6-4c4f-892a-508c51c365a1|22003
8670|Quay Arts Centre|-1.292414|50.701895|United Kingdom|PO30 5BD|27d9b687-31e6-4c4f-892a-508c51c365a1|1588
9445|La Mecanique Ondulatoire|2.378500|48.858100|France|75011|4e9cea11-b383-442b-8363-38b95162a531|7531
8193|Tabacco Factory|-2.613487|51.442360|United Kingdom|BS3 1TF|27d9b687-31e6-4c4f-892a-508c51c365a1|9501
8151|Copper Rooms 2|-1.564814|52.385810|United Kingdom|CV4 7AL|27d9b687-31e6-4c4f-892a-508c51c365a1|21765
7980|Hermione|-2.762639|48.513835|France|22000|4e9cea11-b383-442b-8363-38b95162a531|20042
8074|Café De La Danse|2.378500|48.858100|France|75011|4e9cea11-b383-442b-8363-38b95162a531|19704
8191|Brighton Railway Club|-0.148474|50.832742|United Kingdom|BN1 3TF|27d9b687-31e6-4c4f-892a-508c51c365a1|7933
8077|Navarra Arena|-1.629934|42.805912|Spain|31006|9cbbdced-21fa-4322-a91b-277d6642ed08|21352
8820|Victoria Park*|-1.119737|52.626915|United Kingdom|LE21EG|27d9b687-31e6-4c4f-892a-508c51c365a1|114
7977|FOLD|0.003918|51.518972|United Kingdom|E16 4SA|27d9b687-31e6-4c4f-892a-508c51c365a1|16866
8152|Joy Eslava|-3.711781|40.418965|Spain|28013|9cbbdced-21fa-4322-a91b-277d6642ed08|19114
7650|Princess of Wales Conservatory|-0.290803|51.478127|United Kingdom|TW93AB|27d9b687-31e6-4c4f-892a-508c51c365a1|19608
8567|Yeadon Town Hall|-1.684110|53.866076|United Kingdom|LS19 7PP|27d9b687-31e6-4c4f-892a-508c51c365a1|6657
8405|Backstage Club|11.521800|48.145100|Germany||0d4b844f-7a74-4bd8-a19f-f15d634d6935|12220
7979|The 504|-0.103980|51.465291|United Kingdom|SW9 7EX|27d9b687-31e6-4c4f-892a-508c51c365a1|21593
7967|The O2 - ABBA Super Troopers|0.003943|51.501823|United Kingdom|SE10 0DX|27d9b687-31e6-4c4f-892a-508c51c365a1|21576
8075|Uddingston Cricket and Sports Club|-4.084556|55.816616|United Kingdom|G71 7HJ|27d9b687-31e6-4c4f-892a-508c51c365a1|12482
7886|Sala Caracol|-3.701632|40.409111|Spain|28012|9cbbdced-21fa-4322-a91b-277d6642ed08|19393
8194|Civic Theatre|||Ireland|24|f6ccc634-0019-431c-9ab9-63bd4c0e40a2|4570
8307|Various Venues|-3.189944|55.951962|United Kingdom|EH11BE|27d9b687-31e6-4c4f-892a-508c51c365a1|21285
7982|Dabbers Social Bingo|-0.078394|51.515026|United Kingdom|EC3A 7DB|27d9b687-31e6-4c4f-892a-508c51c365a1|21492
