id|name|id|number_of_seats|available_at_datetime
132|Sushisamba Liverpool Street|132|4|2018-06-18 19:00:00+00:00
132|Sushisamba Liverpool Street|132|2|2018-08-03 18:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-20 04:00:00+00:00
764|Mei Ume|764|4|2018-07-09 19:30:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-25 10:00:00+00:00
4518|Tosca|4518|2|2018-06-19 04:00:00+00:00
120|Trishna Restaurant|120|2|2018-06-19 19:00:00+00:00
7807|Café 103|7807|2|2018-06-20 07:30:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-20 07:30:00+00:00
7770|Ying Jee Club|7770|2|2018-06-21 10:00:00+00:00
6798|T'ang Court|6798|2|2018-06-21 13:00:00+00:00
7807|Café 103|7807|2|2018-06-21 07:30:00+00:00
4518|Tosca|4518|2|2018-06-22 04:00:00+00:00
7770|Ying Jee Club|7770|2|2018-06-23 10:00:00+00:00
4518|Tosca|4518|2|2018-06-23 04:00:00+00:00
7770|Ying Jee Club|7770|2|2018-06-25 10:00:00+00:00
132|Sushisamba Liverpool Street|132|4|2018-06-25 19:00:00+00:00
89|Yauatcha - Soho|89|4|2018-06-25 19:30:00+00:00
7807|Café 103|7807|2|2018-06-26 04:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-26 04:00:00+00:00
7807|Café 103|7807|2|2018-06-26 07:30:00+00:00
4518|Tosca|4518|2|2018-06-26 11:00:00+00:00
7770|Ying Jee Club|7770|2|2018-06-27 10:00:00+00:00
6798|T'ang Court|6798|2|2018-06-27 13:00:00+00:00
7807|Café 103|7807|2|2018-06-27 07:30:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-27 11:00:00+00:00
4518|Tosca|4518|2|2018-06-27 11:00:00+00:00
7807|Café 103|7807|2|2018-06-28 07:30:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-28 07:30:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-28 10:00:00+00:00
7770|Ying Jee Club|7770|2|2018-06-29 10:00:00+00:00
6798|T'ang Court|6798|2|2018-06-29 13:00:00+00:00
