id|name|geoname_id|ivector_connect_geo_level_id|ivector_connect_id|ivector_connect_unique_code|administrative_subdivision|country
61f43d12-f105-4571-bd83-47916face941|Kakuda|2112455|2|9581|R5F7QG|Miyagi-ken|Japan
d380b14f-5c09-496c-9892-d63dc0ef0a1f|Beau Bassin-Rose Hill|934765|2|9801|31H1FO|Plaines Wilhems District|Mauritius
a2deb4d8-9d8e-4441-b3c3-994647950a81|Portoviejo|3652941|2|3251|M41QBW|Provincia de Manabí|Ecuador
50bc2db0-0774-4f80-b2ad-7ec7f460d6cb|Bannu|1183460|2|479|QUESHT|Khyber Pakhtunkhwa Province|Pakistan
c8f0bc0a-1a68-4407-858f-235eed428147|Khabarovsk|2022890|2|1001|MAPO48|Khabarovskiy Kray|Russia
c690ca1e-a655-4e52-b78b-7e01ee196adc|Huntington|4921725|2|5116|20KX94|Indiana|United States
b38060f1-3a18-4d87-8a74-8afa5b39f1b2|Çan|749795|2|2874|6WSRJY|Çanakkale|Turkey
9df7c4ad-5261-4744-9869-34f5053ba18d|Chārsadda|1181439|2|475|0AU8JF|Khyber Pakhtunkhwa Province|Pakistan
a4c9b93a-5043-498d-ae19-05da8f093323|Admont||2|8270|CVEO28||Austria
47a54694-12ef-43af-aaf0-2ed4da089d15|Kyenjojo|230299|2|3161|L6ZUCQ|Western Region|Uganda
f180f3a2-0fe5-42a7-b582-61c2ed28dfcf|Cannes||2|3529|TCSRSJ||France
e4f3db12-640c-4071-9a66-d5eba413f4da|Marlow||2|8598|R3FDY9|England|United Kingdom
79c4286a-1a31-42d0-a1bc-7f169f7d036e|Ségou|2451478|2|5765|KIIOY4|Ségou Region|Mali
087a4a3d-03a8-471f-9400-134c7f13f910|Djibo|2361177|2|1348|EB5Z7M|Sahel|Burkina Faso
fbaa4bcc-d74e-499f-b377-17eb1638dc14|Estevan||2|10293|VADLFE|Saskatchewan|Canada
c9a0ce7f-06e5-4131-bc81-c2eccb8d2f2f|Fray Bentos|3442568|2|4214|UJVKSE|Departamento de Río Negro|Uruguay
4ad0f6a3-5212-4adf-a04c-677e0010bfbb|Laos||||ISN0SS||Laos
e56b2f84-78a7-4786-9df2-dee4e04c7a61|Tequesquitengo||3||7PHUAD||Mexico
1d94ad9e-994b-47da-b607-23bde188479e|Itajaí||3||CXE2V6||Brazil
281315de-3a66-4094-a304-e3ed9ff16e10|Shandaken||3||1KW36J||United States
b38fcfa3-27e9-4d99-9579-75a4fd92b03d|Fraiburgo||3||BM73ET||Brazil
fea69998-7fb4-4e74-ac40-54df3135b745|Encinitas||3||WJQAJS||United States
839407e9-80f4-4bd1-835a-3ccb06dd4e08|Wrangell||||G7BO2L|Alaska|United States
6210d717-e9e4-4ba2-b33b-bede200f295e|Ludlow||3||GBXT2T||United Kingdom
e88ca0ea-fa9a-4302-bc73-87ddbd5522ab|Bento Goncalves||3||UVRWO4||Brazil
4bd1edd1-c7ea-4113-a20a-6cfb66509e0c|Smøla||||CSW036||Norway
f10c635b-6cad-4c88-89aa-c9d688831c84|Lairg||3||54Q40L||United Kingdom
8153267e-7cf1-4044-a132-68bc2b508a2d|Montes Claros||||IMF0OI||Brazil
38d457ae-d0a9-4c1c-b3d2-bfc907ee3feb|Kisii|191299|2|5437|DVLIZY|Kisii|Kenya
d4b651ab-6f82-43a8-ad02-2670b62ddb88|Johanna||3||D3VEFK||Australia
1fac418f-1ed2-4094-94d2-714142b241a1|Nagai|2111781|2|9585|RDWC9V|Yamagata-ken|Japan
0cbef5f2-188a-4285-86ce-6db6a032fb28|Pedro Betancourt|3544607|2|1948|HQH7LN|Provincia de Matanzas|Cuba
49a57837-3455-49fa-8124-62336cd50551|Harper|2276492|2|5594|YN3GL6|Maryland County|Liberia
7636ddeb-1cd8-485a-bdaa-b4967349e94f|Belmar||2|11109|01M9NK|New Jersey|United States
cba07ca0-c32e-4ea8-ad3b-c83cb083ead6|Dan Khun Thot|1610963|2|2478|AMTAKK|Changwat Nakhon Ratchasima|Thailand
34b37fc0-674c-4441-b9e0-20ef81463055|Bjornevatn||3||9R9RT7||Norway
35ece673-aa49-46c8-a9a2-b28e993d5f80|Caucaia||||XTC1LU||Brazil
3a570c03-595d-49cb-ac0b-e1b721788974|Assis|3471374|2|1518|E8T026|São Paulo|Brazil
ea4d6a87-68ee-4c8b-a272-2d10a637facf|San Augustine||2|10560|ME20GM|Texas|United States
a30f0a3b-6aad-4845-aba3-74898df9e683|Estepona||2|10809|VLYF32||Spain
16c742ad-2a4f-49bb-844e-34bb1225d48e|Pelabuhanratu|1631733|2|3893|3VVQKP|Jawa Barat|Indonesia
7b64b8bd-fb03-4f4e-abe5-4bfa23c25f26|Masjed Soleymān|124620|2|4145|9MSKJW|Khuzestan|Iran
b0843ba0-67be-43f5-982e-58af48e86491|Staffanstorp|2674649|2|1073|P0YKC1|Skåne län|Sweden
2e647150-8bef-4e0f-8662-26a4ed53ac05|Janesville|5257754|2|6296|MNEL10|Wisconsin|United States
4fbb5e0e-8214-4fc3-a46e-d728858cab65|New Bern|4481682|2|4894|OFQ17L|North Carolina|United States
f159d720-e27c-4c62-9749-67215c623d78|Tahoua|2439376|2|6094|Z8ZPIG|Tahoua|Niger
12de6b5e-d8d4-4f1f-b123-dbeb590e6174|Yegorlykskaya|468307|2|869|NATEDP|Rostovskaya Oblast’|Russia
46e4ded3-e960-43ba-aaff-04fb0a36daae|Bandar Seri Begawan|1820906|2|1411|R3QK59|Brunei and Muara District|Brunei
