id|name|geoname_id|ivector_connect_geo_level_id|ivector_connect_id|ivector_connect_unique_code
1ff15b68-ebd3-4103-922e-ed24ab8d7efa|Messina|2524170|2||FNLQ4M
e1a68ec2-a541-4f12-8340-7dfe27e305f2|Nyeri|7667661|||
a8b4da1b-0dc6-4314-8c2c-404bc3554ceb|Saxony-Anhalt|2842565|||
4bd3f848-e50a-48f5-a967-a20f2bca5156|Vukovarsko-Srijemska Županija|3337529|||
656b7abc-cce6-48c8-b350-a42897c171a8|Crete|6697802|||
1a4cd5b8-7b6f-4b15-b8ca-9bd00a1fad64|America|10861432|||
056e1b97-0781-4be1-9d4e-9ba25c5c8478|Jämtlands län|2703330|||
c14bbd19-32c6-4aa2-81f7-ba914001ac74|Parish of Saint George|3577819|||
1e815dc4-8c9c-41ef-9dc7-49d6d0981cf0|Primorskiy Kray|2017623|||
2aeafe25-3ab5-4e58-ade7-85cbbbbe7b90|Hillcrest||3||9KJBNS
87ffaa2e-9ace-493a-9439-fab133936bcb|Marina District||3||ZE2HW0
937932f7-e3f8-4e30-9454-8b46770bd52f|Seal Bay Conservation Park||2||
26224a6e-f59c-4191-8844-a89c38943bab|Estado de Aguascalientes|4019231|||
08bf91b1-9239-42fb-9964-8d6560907981|Parish of Saint Paul|3576017|||
0b357227-8597-4861-982c-b7d177004860|Gower Peninsula||2||
02465f02-4b3a-4e38-b325-0d189cf29adf|Krutenau||3||W4DUUI
53b59df2-78eb-4a70-b8b6-ed4f2543edb3|Western Province|2101556|||
8b84ea7f-b124-4d3a-8877-5575ed84407d|Europe (Mainland)|6255148|||
25dde009-7b40-4bb0-b6ff-27813f88fd62|Tanger-Tetouan-Al Hoceima|11281874|||
4fe37eb5-879c-4b41-bcd5-610b220e7ff4|Zirmunai||3||NL8YBV
fe5539cc-3f3e-4b59-9daa-072fdbeb3b39|Wilaya de Khenchela|2491887|||
4bef8de3-5f8b-4d08-b37f-2b0416bf070d|Dundgovĭ Aymag|2031740|||
921e43d6-6ebc-4e23-8aa3-5223c0388529|Green Point||3||WHRVZV
84979571-4969-4fa9-9107-0bdec09b280f|Ostān-e Khorāsān-e Shomālī|6201376|||
e16851b6-5706-4f38-9be5-57e5e679fda9|Prague 5||3||X2XG22
9011537d-14b8-4bc5-83a7-ace495600dbd|Tenorio||3||HNTMGA
0e43f405-5fb0-4484-9a15-df570120b621|Jinjiang||3||RCLU60
45cd79c2-d278-4d84-847c-981c52caaddb|Doese||3||4R08ER
e03f5621-5507-4e1e-9368-233505ef4a07|Provincia de San José|3621837|||
232c73ab-d84e-4c2d-b038-819790c3d341|Gare Montparnasse - Porte de Versailles (15 arr.)||3||HSWGK9
9caa25b4-c24e-4062-9368-f0e584e0190b|Plateau Department|2597277|||
daa37c60-c638-44ad-bb37-2bc72cbb214a|Arctic|10941926|||
e0794a0a-7dcb-4655-9fb8-4985320c4122|Västernorrlands län|2664292|||
9ecad83d-f645-45f8-8ae4-3238452b52d5|Agalega Islands|448254|||
89c0a37d-cf1d-4ece-817c-f1d2732350f6|Herrenhausen||3||S4QTM1
aa7a6960-cebd-422f-a80a-365bcd7cd770|Catalina Island||2||
b17a37a4-f49b-47df-b600-a3cb9b006695|Ihorombe Region|7670907|||
4083298e-c2c8-434f-a19d-8eb890b20ce3|17th Arrondissement||3||3GM1BC
24f21ec8-d0e3-45e8-8c2a-9449b5b84161|Black Point District|8030541|||
4404621e-4c8b-4287-9733-145a71fb0828|South Abaco District|8030555|||
eeed413e-850e-45fc-8f20-25052b86f100|Nordstrand||3||W041MF
41375988-c578-4ecf-a2c4-7f740917bbdb|Le Piol||3||W3TS9C
80f999ec-2e6c-450b-a757-bc190b20ebd4|Ji Parana||2||IMCLH0
013a01cc-e0f8-4f51-ad28-980a3a3e9217|Kratovo|789090|||
51c0cbd9-bc51-4457-b64e-cd588f1de1af|Oblast Sliven|864557|||
b9daf04e-c2cd-4c99-a121-571bbf544e4f|University City||3||0FWO0B
c7f5dad4-a09c-4017-b023-22395ea20422|Montpelier||3||Z8Z2QF
c1b1892c-b090-4dc4-b49c-c941c9a092f8|Bonaire|7609816|||
0b29c620-85cb-4bf3-a397-83347f65a622|Southgate||3||Q5K9ZG
f1067bab-f9eb-4bef-a4d8-7bbb40b598c6|Murang'A|185578|||
21295997-41f2-4e73-8aa9-32ddc059ee8f|Strenču Novads|7628378|||
59afa034-6859-4e1d-8b6e-ed7b480ff8e6|Mariscal||3||ZYBDMY
70f8ccac-256a-432c-bcbe-7dedea68d311|Zona Rosa||3||Q5TR9R
f8c76173-1ebe-4472-8076-6c211c4f85df|Lincoln Park||3||H625C1
ebe0df30-bd18-400b-96c7-c5243972bc15|Port Douglas Hinterlands||2||
eeeb4d7a-adac-410d-abe3-9153b89c6556|Changwat Nonthaburi|1608132|||
0c6b31b7-1a8b-49e8-8bdf-a1a9f6b6aaf9|Tỉnh Ðiện Biên|1905099|||
fe7ed072-dbde-4b2b-81bc-559203733b7c|Downtown||3||CYHE0F
f55e708c-c10e-4b36-a6b5-57c801bbc210|Njombe Region|8469241|||
ee276aaf-4ec8-4b33-a1f1-06640813c8da|Biskupia Gorka||3||XTYW8X
727023c3-4a87-4bc6-a4c6-de00caed3dba|Terra Cha||2||W5QAYZ
f240dacd-5455-4a79-aae7-6855e0bec689|Ikebukuro||3||43PNVY
8c69305a-6d3c-44fb-a134-b9bd4a4aa26e|Chongqing Shi|1814905|||
169e6707-047f-41fd-a37f-86eafee0bf32|Hyehwa||3||9CGM6F
f8bbe212-6bcd-4e16-92b6-ef1f16e63932|Saint Paul Charlestown|3575171|||
d59d42ae-2260-4348-a8ca-169457f4a13e|Sumatera Selatan|1626196|||
1c39f37d-b0e3-4116-b632-34ca0f4af846|Tỉnh Đồng Nai|1582720|||
8a2804bd-e45e-463c-9cef-c6511f2244fa|Muelheim||3||RLDWQ1
04841489-f093-4c1d-8ad7-27b7dcdc4c96|Selangor|1733037|||
8c3e4bf2-82e6-4558-8735-3593a4608b73|Vahr||3||VOV58Q
001c60c1-da28-4456-a1b2-1c87b85aa4e7|Station Mont-Tremblant||3||E4N39E
53860c09-3b17-48de-9f9b-255df3589e47|Northern Chesapeake Bay||2||
73aa4802-6a83-4aa4-8fd1-0ca6ae02d1a4|Boa Vista||3||NGXBBO
7949341a-a3bb-4cbb-87af-14621f6ec187|Uptown||3||1HSDEO
fa7ff650-0a85-4017-bf7b-63b54b9c2fee|Sukhumvit||3||6DO56D
82cb11ac-e30d-48de-870d-6843786868fe|Lauro Muller||3||F9XXT2
c61563fa-f9c7-4d53-87d8-b51dedbc0703|Cotswold||3||L5HNNG
d5d03f53-42c1-4e72-a2af-b974cc31d570|Moselweiss||3||BECWDY
05429556-e7ae-4c7b-81dd-34e6f9e93a37|Svalbard|7521757|||
f6eae342-02cc-49fe-bc02-51163edf47d8|Vatican||3||VB0A1P
