id|name|benefit_code|restaurant_id
575|Priority booking, a complimentary dessert that is not on the menu|4080|7799
576|Priority booking, a complimentary dessert that is not on the menu|4097|7800
580|A complimentary drink on arrival and opportunity to preview the new menu in advance|4078|7801
577|Priority booking, a complimentary dessert that is not on the menu for all the private dining room guests|4077|7802
581|Complimentary tea for guests spending 200 yuan per person；complimentary dessert that is not on the menu for guests spending 300 yuan per person|4087|7803
579|A glass of complimentary welcome Champagne per guest|4096|7804
582|A complimentary Chinese tea cocktail, meet and greet the Chef (subject to availability)|4094|7805
586|Private Dining Room priority booking, complimentary welcome tea, meet and greet with the Chef (subject to availability)|4093|7806
495|Complimentary appetizer per guest|4101|3213
795|Book through us for priority reservations|REF668|4774
490|Jade Exclusive: 15% off discount on all day a-la-carte dining and a complimentary bottle of champagne on birthday month with minimum spend|4122|2402
494|Enjoy complimentary welcome drinks|4132|2966
496|Complimentary welcome drink per guest|4133|7399
498|Enjoy 15% off degustation dinner menu set and complimentary sommelier-led cellar wine tasting|4067|4602
499|Complimentary glass of welcome Champagne|4060|4641
507|Complimentary glass of welcome Champagne|4069|6798
795|Book through us for priority reservations|REF668|4647
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7686
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7817
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7820
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7823
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7696
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7824
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|7825
595|Discount 10% with Visa Signature card and 15% with Visa Infinite card (up to 8 guests)|VISA1015|1114
